Year,Month,Region,Revenue,Profit,Units_Sold
2022,1,A,108422.9,69191.3,4368
2022,1,B,107487.18,69753.04000000001,4285
2022,1,C,121886.76,76987.34,5064
2022,2,A,148656.6,108390.26,5485
2022,2,B,126763.81,84599.16,4982
2022,2,C,79188.57,54603.26,3034
2022,3,A,92023.98,60182.03,3846
2022,3,B,141671.91999999998,96599.87,5271
2022,3,C,127352.51,84435.97,4681
2022,4,A,108717.58,77179.26,3827
2022,4,B,65361.78,42203.44,2590
2022,4,C,98523.93000000001,66218.95999999999,3565
2022,5,A,117335.5,77426.31999999999,4482
2022,5,B,102828.81,68927.13,4126
2022,5,C,69976.1,47010.5,2749
2022,6,A,69902.25,47400.24,2784
2022,6,B,112734.89,78023.93,4172
2022,6,C,108704.81,73446.58,4207
2022,7,A,66408.33,44091.259999999995,2704
2022,7,B,84195.93,55839.5,3506
2022,7,C,77651.29000000001,46791.07,3402
2022,8,A,119282.93,76865.51,4951
2022,8,B,66809.45,41795.88,2868
2022,8,C,67501.55,42726.99,2903
2022,9,A,121407.41,81029.59,4621
2022,9,B,68907.26,42445.99,2670
2022,9,C,56775.19,39055.74,2095
2022,10,A,89963.76000000001,54102.780000000006,3787
2022,10,B,93255.59999999999,63019.13,3810
2022,10,C,56532.04,36948.4,2029
2022,11,A,88564.14,65449.25,3121
2022,11,B,97538.91,69015.74,3351
2022,11,C,88894.73,58343.34,3355
2022,12,A,72506.29,49772.97,2855
2022,12,B,100028.32,63665.229999999996,3832
2022,12,C,111416.99,74482.31,4123
2023,1,A,76099.33,51297.82,2910
2023,1,B,100984.76,63381.71,3924
2023,1,C,112092.88,73211.0,4588
2023,2,A,98971.38,62969.25,3974
2023,2,B,65761.34999999999,41050.53,2814
2023,2,C,76022.24,47828.18,3254
2023,3,A,80951.01,51164.87,3356
2023,3,B,115915.77,74478.93,4282
2023,3,C,69798.14,42476.73,2984
2023,4,A,91686.52,58713.39,3683
2023,4,B,90832.13,63761.32,3385
2023,4,C,65870.94,41603.4,2662
2023,5,A,61752.25,39567.5,2670
2023,5,B,89553.64,54346.270000000004,3990
2023,5,C,66492.59,39700.32,3083
2023,6,A,73086.19,49860.01,2861
2023,6,B,96345.86,60683.35,3880
2023,6,C,115797.78,78538.81999999999,4246
2023,7,A,70223.90000000001,43901.21,3176
2023,7,B,97510.12,64333.659999999996,3981
2023,7,C,79458.54000000001,49733.14,3367
2023,8,A,71348.68,48438.92999999999,2964
2023,8,B,88748.01,57177.24,3225
2023,8,C,106942.33,67153.63,4385
2023,9,A,90420.37,56831.78999999999,3945
2023,9,B,76329.34,45024.18,3256
2023,9,C,70439.19,47635.090000000004,2626
2023,10,A,5500.2,3363.98,206
2023,10,B,4967.1,2898.9800000000005,202
2023,10,C,7029.33,3279.78,329
