Product,Revenue,Profit,Units_Sold,margin_pct
Toy SKU 23,263598.18,178018.09,9353,0.6753388433865515
Toy SKU 22,247892.99000000002,165081.0,9782,0.6659365397948526
Toy SKU 14,249040.99,155590.85,10579,0.6247600043671526
Toy SKU 20,227092.01,149922.87,9061,0.6601855785238767
Toy SKU 28,212111.19,147073.51,8020,0.693379307334045
Toy SKU 11,228631.17,145137.2,9519,0.6348093306787522
Toy SKU 09,219456.73,144542.54,8905,0.658637992099855
Toy SKU 04,200766.13,139264.19,7425,0.6936637668913577
Toy SKU 17,193594.86000000002,135306.5,7004,0.6989157666685984
Toy SKU 07,197110.71,133923.75,7548,0.6794341616444891
Toy SKU 10,209841.11000000002,132547.99,8523,0.6316588298641767
Toy SKU 16,188999.49,130664.42,7312,0.6913480031083682
Toy SKU 26,193934.88999999998,130465.86,6854,0.6727302137330731
Toy SKU 24,201783.1,129904.69,8097,0.6437837955705904
Toy SKU 13,191429.41,128143.88,7194,0.6694053959629296
Toy SKU 03,194572.76,126125.53,7859,0.6482178183626526
Toy SKU 02,188943.99,121445.84,7519,0.6427610637416941
Toy SKU 08,187511.07,119930.31,8001,0.6395905585734218
Toy SKU 21,183618.4,116026.5,7474,0.6318892877837952
Toy SKU 25,180470.46,114554.51,6983,0.6347549067032909
Toy SKU 19,168904.2,111126.21,6941,0.6579244921085443
Toy SKU 06,169680.79,109199.18,7084,0.6435565275244179
Toy SKU 18,161560.79,107683.61,6112,0.6665206947799648
Toy SKU 15,168050.92,107676.12,6730,0.6407350819620624
Toy SKU 29,163065.82,107243.67,6565,0.6576710557736747
Toy SKU 05,169516.85,106111.64,7260,0.6259651474174985
Toy SKU 30,159236.01,104068.21,6647,0.6535469583795775
Toy SKU 01,151152.18,95872.95999999999,5889,0.634281027240229
Toy SKU 27,146547.16,94096.56,5898,0.6420906416746663
Toy SKU 12,133997.51,85676.09,5571,0.6393856870922452
