Product,Date,Region,Units Sold,Unit Cost,Unit Price,Revenue,Profit,Year,Month,Quarter
Toy SKU 03,2022-01-01,C,146,12.52,32.01,4673.46,2845.54,2022,1,1
Toy SKU 14,2022-01-02,A,27,13.74,34.12,921.2399999999999,550.2599999999999,2022,1,1
Toy SKU 22,2022-01-03,C,116,8.23,21.24,2463.8399999999997,1509.1599999999996,2022,1,1
Toy SKU 04,2022-01-04,A,204,10.26,36.15,7374.599999999999,5281.5599999999995,2022,1,1
Toy SKU 17,2022-01-05,B,103,9.32,11.11,1144.33,184.3699999999999,2022,1,1
Toy SKU 07,2022-01-06,C,183,10.13,34.02,6225.660000000001,4371.870000000001,2022,1,1
Toy SKU 22,2022-01-07,B,22,12.88,34.69,763.18,479.81999999999994,2022,1,1
Toy SKU 30,2022-01-08,C,49,8.4,10.45,512.05,100.44999999999993,2022,1,1
Toy SKU 17,2022-01-09,A,165,11.32,40.93,6753.45,4885.65,2022,1,1
Toy SKU 21,2022-01-10,B,77,7.39,24.5,1886.5,1317.47,2022,1,1
Toy SKU 24,2022-01-11,A,106,8.49,16.49,1747.9399999999998,847.9999999999998,2022,1,1
Toy SKU 04,2022-01-12,B,150,8.09,36.48,5471.999999999999,4258.499999999999,2022,1,1
Toy SKU 19,2022-01-13,C,28,12.24,35.56,995.6800000000001,652.96,2022,1,1
Toy SKU 10,2022-01-14,C,90,6.53,31.52,2836.8,2249.1000000000004,2022,1,1
Toy SKU 20,2022-01-15,A,184,3.58,34.97,6434.48,5775.759999999999,2022,1,1
Toy SKU 06,2022-01-16,C,148,10.9,34.76,5144.48,3531.2799999999997,2022,1,1
Toy SKU 17,2022-01-17,B,115,4.97,12.78,1469.6999999999998,898.1499999999999,2022,1,1
Toy SKU 18,2022-01-18,B,149,8.45,27.65,4119.849999999999,2860.7999999999993,2022,1,1
Toy SKU 03,2022-01-19,C,129,9.31,27.45,3541.0499999999997,2340.0599999999995,2022,1,1
Toy SKU 20,2022-01-20,C,72,3.82,23.41,1685.52,1410.48,2022,1,1
Toy SKU 30,2022-01-21,A,66,12.46,16.72,1103.52,281.15999999999997,2022,1,1
Toy SKU 13,2022-01-22,C,20,6.45,18.69,373.8,244.8,2022,1,1
Toy SKU 14,2022-01-23,B,34,11.73,30.92,1051.28,652.46,2022,1,1
Toy SKU 17,2022-01-24,B,94,12.05,14.51,1363.94,231.24,2022,1,1
Toy SKU 11,2022-01-25,A,30,11.08,24.24,727.1999999999999,394.79999999999995,2022,1,1
Toy SKU 03,2022-01-26,C,42,8.76,14.03,589.26,221.33999999999997,2022,1,1
Toy SKU 15,2022-01-27,C,113,7.5,18.95,2141.35,1293.85,2022,1,1
Toy SKU 14,2022-01-28,C,141,7.3,11.89,1676.49,647.19,2022,1,1
Toy SKU 11,2022-01-29,A,79,13.04,32.09,2535.11,1504.9500000000003,2022,1,1
Toy SKU 29,2022-01-30,B,64,13.68,34.7,2220.8,1345.2800000000002,2022,1,1
Toy SKU 08,2022-01-31,C,175,6.36,12.18,2131.5,1018.5,2022,1,1
Toy SKU 14,2022-02-01,B,199,8.29,15.68,3120.32,1470.6100000000004,2022,2,1
Toy SKU 22,2022-02-02,A,179,5.36,37.27,6671.330000000001,5711.890000000001,2022,2,1
Toy SKU 18,2022-02-03,A,168,11.05,23.26,3907.6800000000003,2051.28,2022,2,1
Toy SKU 10,2022-02-04,B,37,10.32,11.79,436.22999999999996,54.38999999999993,2022,2,1
Toy SKU 18,2022-02-05,C,96,3.94,25.3,2428.8,2050.5600000000004,2022,2,1
Toy SKU 06,2022-02-06,A,148,4.59,28.39,4201.72,3522.4000000000005,2022,2,1
Toy SKU 05,2022-02-07,C,44,13.21,28.18,1239.92,658.6800000000001,2022,2,1
Toy SKU 14,2022-02-08,B,137,3.74,40.63,5566.31,5053.93,2022,2,1
Toy SKU 18,2022-02-09,B,110,11.72,11.73,1290.3,1.099999999999909,2022,2,1
Toy SKU 09,2022-02-10,B,150,13.35,27.87,4180.5,2178.0,2022,2,1
Toy SKU 15,2022-02-11,B,108,6.3,19.94,2153.52,1473.12,2022,2,1
Toy SKU 17,2022-02-12,B,188,3.73,36.27,6818.76,6117.52,2022,2,1
Toy SKU 14,2022-02-13,A,197,4.97,27.28,5374.16,4395.07,2022,2,1
Toy SKU 10,2022-02-14,A,149,6.45,30.76,4583.24,3622.1899999999996,2022,2,1
Toy SKU 21,2022-02-15,C,162,11.57,12.56,2034.72,160.37999999999988,2022,2,1
Toy SKU 19,2022-02-16,C,214,3.89,27.31,5844.34,5011.88,2022,2,1
Toy SKU 07,2022-02-17,B,86,12.21,35.67,3067.6200000000003,2017.5600000000002,2022,2,1
Toy SKU 29,2022-02-18,A,50,6.55,26.0,1300.0,972.5,2022,2,1
